"","Series Category","Season Frequency","Model Fitted","Series Used","Model MASE","Forecast MASE","Shapiro-Wilks","Ljung-Box","AIC","AICc","BIC","Non-Normal Std Residuals","Correlated Std Residuals"
"142","INDUSTRY    ",4,"ETS(M,A,M)","Seasonal Difference",0.648632148660334,1.34734969810996,0.0502602821596489,0.00271599629721631,1104.51551414675,1108.04492591145,1123.51337892431,0,1
"143","MACRO       ",4,"ETS(M,Md,N)","Original",0.27643032295354,0.358030724654627,0.985758057285133,0.572255145058092,694.932839356728,696.886327728821,706.404977389297,0,0
"144","MACRO       ",4,"ETS(M,Md,M)","Original",0.403929199875922,1.10810926082645,0.349242717306806,0.961525261149076,702.642108259523,708.283133900549,721.762338313805,0,0
"145","MACRO       ",4,"ETS(M,Md,N)","Original",0.253930458000745,1.80644032546527,0.71096480223761,0.972019958797304,690.698041432482,692.651529804575,702.170179465051,0,0
"146","MACRO       ",4,"ETS(M,M,M)","Box-Cox",0.459953434509062,1.82429243234948,0.44581772219106,0.654611679258548,678.769329320787,693.769329320787,688.588711401012,0,0
"147","MACRO       ",4,"ETS(A,Ad,A)","Original",0.370884091910058,1.03189072348262,0.429166223800584,0.863003447260864,752.676446015308,758.317471656334,771.79667606959,0,0
"148","MACRO       ",4,"ETS(M,Md,N)","Original",0.245195391791282,0.418112785546619,0.801632345661895,0.77327787467381,625.60030592863,627.553794300723,637.072443961199,0,0
"149","MACRO       ",4,"ETS(M,Md,M)","Original",0.469256858270715,3.35553738162966,0.739474089522991,0.855817529738881,724.173945226168,729.814970867193,743.294175280449,0,0
"150","MACRO       ",4,"ETS(M,N,A)","Box-Cox",0.333056780698191,0.997913479241901,0.736195159450734,0.460110026412449,-988.109374567358,-985.442707900692,-974.725213529361,0,0
"151","MACRO       ",4,"ETS(M,Md,M)","Original",0.176401986365311,2.18256415511883,0.188417130495619,0.960031330558307,636.328961266231,641.969986907256,655.449191320512,0,0
"152","MACRO       ",4,"ETS(M,Ad,M)","Original",0.142310020928486,0.221920567584442,0.562489416425986,0.734655107787428,570.176145268713,575.817170909738,589.296375322994,0,0
"153","MACRO       ",4,"ETS(M,Md,M)","Box-Cox",0.152795303287605,0.0328785258850157,0.0957688389798413,0.908530544302384,133.780372628206,139.421398269232,152.900602682488,0,0
"154","MACRO       ",4,"Damped Holt-Winters' multiplicative method with exponential trend","Box-Cox",0.191617281134782,1.70730049747342,0.104357765553283,0.491803723514002,1287.0982524636,1292.73927810462,1306.21848251788,0,0
"155","MACRO       ",4,"ETS(M,N,M)","Original",0.374533290917808,2.43616829308812,0.141316072742836,0.103811533877096,625.171185037551,627.837851704218,638.555346075548,0,0
"156","MACRO       ",4,"ETS(M,Ad,M)","Box-Cox",0.381714091657216,0.571849876199547,0.242604138780426,0.441085613100441,1505.89917806496,1511.54020370599,1525.01940811924,0,0
"157","MACRO       ",4,"ETS(M,Ad,A)","Original",0.214335584922854,0.712989322887373,0.134041622255821,0.605021950532845,619.542210191378,625.183235832404,638.66244024566,0,0
"158","MACRO       ",4,"ETS(M,Ad,M)","Original",0.12615234628589,0.114575916674687,0.99324358397522,0.297339335541832,571.367122563975,577.008148205,590.487352618256,0,0
"159","MACRO       ",4,"ETS(M,Md,N)","Seasonal Difference",0.518831285306726,0.176191675124379,0.36238895037724,0.231542879077251,687.173987047272,689.327833201118,698.145835426206,0,0
"160","MACRO       ",4,"ETS(M,A,M)","Box-Cox",0.0648921220631461,0.181889623327264,0.300036532487634,0.100250326087457,68.7634171169416,73.2634171169416,85.9716241657949,0,0
"161","MACRO       ",4,"ETS(M,A,M)","Box-Cox",0.288285218575408,0.10920077891395,0.462189856075747,0.810331020383086,88.9478376110326,93.4478376110326,106.156044659886,0,0
"162","MACRO       ",4,"ETS(M,A,M)","Box-Cox",0.135714972649079,3.17922538925014,0.595432298326342,0.596260020906845,-325.268573467098,-320.768573467098,-308.060366418245,0,0
"163","FINANCE     ",4,"ETS(A,Ad,A)","Seasonal Difference",0.426438173616439,1.7049781052126,0.249739707098268,0.923793344193407,646.526268048588,653.859601381922,663.661988715631,0,0
"164","FINANCE     ",4,"ETS(A,N,A)","Original",0.355111952627398,5.18107941222509,0.0985708890076487,0.889378240342066,673.879155252985,677.173272900043,686.042842580968,0,0
"165","FINANCE     ",4,"ETS(M,Ad,M)","Box-Cox",0.524048029842488,1.6450999630249,0.128552444811331,0.846339262779951,-190.918630228339,-182.4570917668,-174.809451101896,0,0
"166","FINANCE     ",4,"ETS(M,Ad,M)","Box-Cox",0.364188153743786,4.96554205613148,0.490131550559782,0.659531561559976,835.037885050502,840.678910691527,854.158115104783,0,0
"167","FINANCE     ",4,"ETS(M,Ad,A)","Original",0.498925110023345,1.13294669713614,0.595736338263074,0.74426211897231,952.158030240294,957.79905588132,971.278260294576,0,0
"168","FINANCE     ",4,"ETS(M,Md,N)","Original",0.519700255022452,0.909308783291432,0.231040091845205,0.91852155254111,816.070713099659,818.119493587464,827.297919165106,0,0
"169","FINANCE     ",4,"ETS(A,A,N)","Box-Cox",0.371692997704301,1.95986675459999,0.0740009224968197,0.966790419941136,1194.51832325158,1195.5528060102,1205.31273866838,0,0
"170","FINANCE     ",4,"ETS(M,Md,M)","Box-Cox",0.238409008278822,4.16399569539179,0.593958504902278,0.939318188791175,738.904492754189,744.545518395215,758.024722808471,0,0
"171","FINANCE     ",4,"ETS(A,N,N)","Seasonal Difference",0.282188137943428,0.435293576313319,0.0712887739040085,0.699128458521155,535.046146508205,535.935035397093,539.34810812166,0,0
"172","FINANCE     ",4,"ETS(M,Ad,M)","Box-Cox",0.397321271400581,0.600147623768674,0.0758673779550238,0.878420077341318,405.347309154488,409.347309154488,427.243856574752,0,0
"173","FINANCE     ",4,"ETS(A,N,N)","Original",0.2567567454482,0.827396986489825,0.40475291465166,0.0572297285596246,846.575443202441,847.036981663979,852.651498274646,0,0
"174","FINANCE     ",4,"ETS(A,Ad,A)","Original",0.325312270781363,0.540809327611878,0.285641426381343,0.979660491605308,873.467708147583,878.967708147583,892.785964474826,0,0
"175","FINANCE     ",4,"Damped Holt-Winters' multiplicative method with exponential trend","Original",0.302127205926707,4.8963397238554,0.0787344988259681,0.64932215805022,976.294382153462,980.222953582033,998.341308347372,0,0
"176","FINANCE     ",4,"ETS(A,Ad,N)","Original",0.313486203656789,2.4983690722942,0.174847024393496,0.890087081378314,818.378905525156,820.33239389725,829.851043557725,0,0
"177","FINANCE     ",4,"ETS(A,Ad,N)","Original",0.414370197152464,2.31910095840875,0.763907488511304,0.977936171507615,788.811322140091,790.860102627896,800.038528205538,0,0
"178","FINANCE     ",4,"ETS(M,Md,M)","Original",0.347795366422605,1.58334434091161,0.227721498615456,0.983655554666999,873.207221182769,878.207221182769,893.280553035093,0,0
"179","DEMOGRAPHIC  ",4,"ETS(M,Ad,A)","Original",0.0339986177109767,0.171682797510896,0.799030318963538,0.655312646444521,399.878027010073,406.163741295787,418.164440974964,0,0
"180","DEMOGRAPHIC  ",4,"ETS(A,Ad,A)","Original",0.0341992885687371,0.228420912107036,0.293395760068051,0.519912398261396,404.507483850857,410.793198136571,422.793897815748,0,0
"181","DEMOGRAPHIC  ",4,"ETS(M,Ad,M)","Original",0.0496232258871585,0.287138597576192,0.694963934168421,0.435702247555193,424.324565151057,430.610279436771,442.610979115948,0,0
"182","DEMOGRAPHIC  ",4,"ETS(M,Ad,M)","Original",0.0537944776413515,0.559076068192657,0.433297905372272,0.863162467840889,441.519402806451,447.805117092165,459.805816771342,0,0
"183","DEMOGRAPHIC  ",4,"ETS(M,A,A)","Box-Cox",0.0607133277932604,0.873713377249429,0.0789058518463282,0.867703184164896,762.381758988763,767.381758988763,778.839531557165,0,0
"184","DEMOGRAPHIC  ",4,"ETS(A,Ad,N)","Original",0.100156505854237,0.358337497734053,0.059979045478862,0.776734426688107,622.605242835072,624.028971648631,635.74317128723,0,0
"185","DEMOGRAPHIC  ",4,"ETS(M,Md,M)","Box-Cox",0.655827541292721,2.79187519779051,0.473572106552663,0.805475744624742,-99.4688490990887,-95.4688490990887,-77.5723016788245,0,0
"186","DEMOGRAPHIC  ",4,"ETS(M,Md,M)","Original",0.244703690511162,0.0822692335934045,0.208558865302736,0.0561437191190853,664.729234410857,668.657805839428,686.776160604766,0,0
"187","DEMOGRAPHIC  ",4,"ETS(A,Ad,A)","Original",0.528174165762331,1.92728060506054,0.148062050278372,0.983446531956069,949.696346981682,953.55599610449,971.891424033444,0,0
"188","DEMOGRAPHIC  ",4,"ETS(M,M,M)","Original",0.239836724989954,1.88180142284072,0.0511845606519152,0.0552414018282487,726.667475899216,729.881761613501,746.374368577454,0,0
"189","DEMOGRAPHIC  ",4,"ETS(M,Ad,A)","Original",0.436049443169699,0.781453345796262,0.6921811667535,0.715660297527691,852.624804182728,856.484453305535,874.819881234489,0,0
"190","DEMOGRAPHIC  ",4,"ETS(A,Ad,A)","Original",0.216525925388405,10.3698204711483,0.694685214696162,0.875340735980284,449.834720336276,456.931494529824,467.21141651911,0,0
"191","DEMOGRAPHIC  ",4,"ETS(M,Ad,A)","Original",0.33619958729202,0.434784825242875,0.327535429455123,0.848544752307831,875.54761156766,879.54761156766,897.444158987924,0,0
"192","DEMOGRAPHIC  ",4,"ETS(M,Md,M)","Original",0.190660934800609,2.50060276817547,0.054954520528295,0.771593558474007,756.954961698952,760.883533127523,779.001887892862,0,0
"193","DEMOGRAPHIC  ",4,"ETS(A,Ad,A)","Seasonal Difference",0.405984974858038,3.59204362996209,0.582665347658039,0.952105409543332,877.105148043831,881.256091440058,898.693978877428,0,0
"194","DEMOGRAPHIC  ",4,"ETS(A,N,N)","Seasonal Difference",0.279885209759711,2.19867292012568,0.152114385960201,0.177322901867239,793.554146028604,793.967939132052,799.93554918374,0,0
"195","DEMOGRAPHIC  ",4,"ETS(A,A,A)","Original",0.119744595735634,0.855676390947871,0.0609237394025429,0.968930239445391,587.503570078681,591.253570078681,606.047557173599,0,0
"196","DEMOGRAPHIC  ",4,"ETS(M,Md,M)","1st Difference",0.521460846556258,1.13110851825666,0.174830592356329,0.29094110541688,399.31958132646,408.884798717765,414.583186572622,0,0
"197","DEMOGRAPHIC  ",4,"ETS(M,Md,M)","Box-Cox",0.348486883405689,1.20070719278795,0.252639756635291,0.957509782765233,-1468.68054706297,-1464.68054706297,-1446.7839996427,0,0
"198","DEMOGRAPHIC  ",4,"ETS(M,N,M)","1st Difference",0.804218601992683,0.903921289968157,0.0520846207689246,0.935338828703899,698.380637554934,700.985288717724,711.903416984004,0,0
